øMNþ 19.48   6.84  .1981    257     6.6    93.8    7.11     3.6 
164831  16.15   7.08  .0000    264     0.0    46.5    3.78    -0.2 
164832  16.15   7.11  .0000    259     0.0    46.7    3.80     0.0 
164833  16.16   7.11  .0000    259     0.0    46.7    3.80     0.0 
164834  16.20   7.07  .0000    263     0.0    47.2    3.83     0.1 
164835  16.20   7.07  .0000    265     0.0    47.9    3.89     0.0 
164836  16.26   7.22  .0000    265     0.0    47.9    3.89     0.0 
164837  16.32   7.29  .0000    261     0.0    48.7    3.95    -0.0 
164838  16.32   7.29  .0000    258     0.0    49.5    4.00    -0.1 
164839  16.38   7.37  .0000    258     0.0    49.5    4.00    -0.1 
164840  16.43   7.39  .0000    248     0.0    50.2    4.06    -0.1 
164841  16.43   7.39  .0000    248     0.0    53.6    4.31    -0.1 
164842  16.69   7.47  .0000    246     0.0    53.6    4.31    -0.1 
164843  16.86   7.46  .0000    241     0.0    55.9    4.47    -0.2 
164844  16.86   7.46  .0000    241     0.0    56.7    4.53    -0.2 
164845  16.92   7.50  .0000    250     0.0    56.7    4.53    -0.2 
164846  16.97   7.46  .0001    245     0.0    57.3    4.58    -0.3 
164847  16.97   7.46  .0001    245     0.0    57.3    4.62    -0.3 
164848  17.01   7.48  .0000    239     0.0    57.9    4.62    -0.3 
164849  17.05   7.37  .0000    241     0.0    58.4    4.66    -0.3 
164850  17.05   7.37  .0000    241     0.0    58.4    4.66    -0.3 
164851  17.09   7.46  .0000    241     0.0    59.0    4.70    -0.3 
164852  17.13   7.37  .0000    252     0.0    59.5    4.74    -0.3 
164853  17.13   7.37  .0000    252     0.0    59.5    4.74    -0.3 
164854  17.17   7.18  .0000    263     0.0    60.1    4.78    -0.3 
164855  17.17   7.27  .0000    255     0.0    60.6    4.82    -0.3 
164856  17.21   7.27  .0000    255     0.0    60.6    4.82    -0.3 
164857  17.26   7.29  .0000    253     0.0    61.3    4.87    -0.3 
164858  17.26   7.29  .0000    249    21.8    62.0    4.92    -0.2 
164859  17.31   7.41  .0000    249    21.8    62.0    4.92    -0.2 
164900  17.36   7.46  .0000    244    24.6    62.7    4.96    -0.3 
164901  17.36   7.46  .0000    245     1.3    63.2    5.00    -0.2 
164902  17.40   7.47  .0000    245     1.3    63.2    5.00    -0.2 
164903  17.45   7.47  .0000    245     0.4    63.8    5.05    -0.3 
164904  17.45   7.47  .0000    245     0.6    64.3    5.08    -0.2 
164905  17.48   7.49  .0000    244     0.6    64.3    5.08    -0.2 
164906  17.52   7.50  .0000    245     0.3    64.9    5.12    -0.2 
164907  17.52   7.50  .0000    245     0.3    65.3    5.15    -0.2 
164908  17.55   7.50  .0000    245     0.6    65.3    5.15    -0.2 
164909  17.59   7.51  .0000    246     0.8    65.8    5.18    -0.2 
164910  17.59   7.51  .0000    246     0.8    66.2    5.22    -0.3 
164911  17.62   7.51  .0000    246     0.9    66.2    5.22    -0.3 
164912  17.65   7.53  .0000    247     0.8    66.7    5.25    -0.2 
164913  17.65   7.53  .0000    247     0.8    66.7    5.28    -0.2 
164914  17.68   7.53  .0000    248     0.8    67.1    5.28    -0.2 
